시설명,시설코드,시설종류명(시설유형),시설종류상세명(시설종류),자치구(시)구분,시설장명,시군구코드,시군구명,시설주소,정원(수용인원),현인원,전화번호,우편번호
마포노인복지센터부설마포재가노인지원센터,A2419,(노인) 재가노인복지시설,재가노인복지시설,자치구,이은정,1144000000,마포구,"서울특별시 마포구 만리재로 992,3층 (공덕동, 헤이븐 오피스텔)(공덕동, 헤이븐 오피스텔)",80,80,02-365-7775,4208
다정노인복지센터,A2610,(노인) 재가노인복지시설,재가노인복지시설,자치구,이수정,1120000000,성동구,서울특별시 성동구 용답중앙11길 3-1 (용답동),150,150,02-2245-1020,4803
정토데이케이센터,A2678,(노인) 재가노인복지시설,재가노인복지시설,자치구,안민숙,1153000000,구로구,서울특별시 구로구 디지털로 31길 93(구로3동),20,20,02-852-0522,8375
관악노인종합사회복지관병설관악데이케어센터,A2773,(노인) 재가노인복지시설,재가노인복지시설,자치구,이석영,1162000000,관악구,서울특별시 관악구 보라매로 35(봉천동),,,02-888-9978,8708
광진데이케어센터,A2777,(노인) 재가노인복지시설,재가노인복지시설,자치구,최광식,1121500000,광진구,서울특별시 광진구 군자로 88(군자동),24,18,02-466-6248,5004
시립서부데이케어센터,A2795,(노인) 재가노인복지시설,재가노인복지시설,자치구,이희근,1144000000,마포구,서울특별시 마포구 월드컵로36길 15-0(성산동),50,50,02-350-0700,3937
가양5데이케어센터,A2870,(노인) 재가노인복지시설,재가노인복지시설,자치구,조인영,1150000000,강서구,서울특별시 강서구 양천로57길 36,31,30,02-3664-8805,7526
마포데이케어센터,A2905,(노인) 재가노인복지시설,재가노인복지시설,자치구,김윤태,1144000000,마포구,서울특별시 마포구 창전동(마포노인종합복지관 2층),24,24,02-6360-0521,121881
기둥재가노인복지시설,A2958,(노인) 재가노인복지시설,재가노인복지시설,자치구,조성삼,1126000000,중랑구,서울특별시 중랑구 면목로33길 50,80,80,02-2207-3927,2241
시립노원노인종합복지관 병설노원데이케어센터,A3130,(노인) 재가노인복지시설,재가노인복지시설,자치구,박지은,1135000000,노원구,"서울특별시 노원구 노원로16길 15912동 B1층 (하계동, 중계주공9단지아파트)",20,20,02-948-1532,1748
시립성북노인종합복지관 주간보호센터,A3223,(노인) 재가노인복지시설,재가노인복지시설,자치구,최유준,1129000000,성북구,서울특별시 성북구 종암로21길 21-4 (종암동),21,16,02-929-4956,2804
구로노인종합복지관 병설 데이케어센터,A3269,(노인) 재가노인복지시설,재가노인복지시설,자치구,임성희,1153000000,구로구,서울특별시 구로구 새말로16길 7구로노인종합복지관 (구로동),17,17,02-855-1811,8289
엘림노인복지원,A3318,(노인) 재가노인복지시설,재가노인복지시설,자치구,유광수,1171000000,송파구,서울특별시 송파구 거마로3길 14-32층,80,0,02-3012-8004,5744
서울예정재가노인복지센터,A3334,(노인) 재가노인복지시설,재가노인복지시설,자치구,설동욱,1126000000,중랑구,서울특별시 중랑구 용마산로 3485동 1504호,20,2,02-494-2944,2194
시립서대문노인종합복지관주간보호센터,A3382,(노인) 재가노인복지시설,재가노인복지시설,자치구,탁우상,1141000000,서대문구,서울특별시 서대문구 독립문로8길 57(천연동),21,21,02-363-9980,3745
중랑데이케어센터,A3397,(노인) 재가노인복지시설,재가노인복지시설,자치구,조희정,1126000000,중랑구,서울특별시 중랑구 면목2동(면목동),20,20,02-432-9996,131820
성가정데이케어센터,A3430,(노인) 재가노인복지시설,재가노인복지시설,자치구,최은영,1174000000,강동구,서울특별시 강동구 양재대로156길 28(고덕동),21,21,02-481-2217,5235
덕수노인복지센터,A3678,(노인) 재가노인복지시설,재가노인복지시설,자치구,신영삼,1129000000,성북구,서울특별시 성북구 성북로28길 14(성북동),38,38,02-762-4262,136823
강남데이케어센터,A3755,(노인) 재가노인복지시설,재가노인복지시설,자치구,이동섭,1168000000,강남구,서울특별시 강남구 삼성로 628삼성로 628,17,14,02-549-8488,6085
동작데이케어센터,A3938,(노인) 재가노인복지시설,재가노인복지시설,자치구,김익환,1159000000,동작구,서울특별시 동작구 대방동대방동,17,17,02-824-2415,156808
목련데이케어센터,A3989,(노인) 재가노인복지시설,재가노인복지시설,자치구,신민선,1168000000,강남구,서울특별시 강남구 개포로 617-8(일원2동),21,20,02-3412-2226,6336
도봉노인종합복지관주간보호센터,A4008,(노인) 재가노인복지시설,재가노인복지시설,자치구,이은주,1132000000,도봉구,서울특별시 도봉구 도당로2길 12-13 ,24,24,02-990-6670,1394
용산데이케어센터,A4021,(노인) 재가노인복지시설,재가노인복지시설,자치구,이성희,1117000000,용산구,서울특별시 용산구 독서당로11길 16 (한남동),21,21,02-794-7787,4410
사)한국한아름복지회재가노인지원센터,A4036,(노인) 재가노인복지시설,재가노인복지시설,자치구,최순임,1168000000,강남구,서울특별시 강남구 개포로24길 29지하1층 (개포동),80,80,02-573-7944,6308
구립영등포노인종합복지관병설데이케어센터,A4044,(노인) 재가노인복지시설,재가노인복지시설,자치구,박영숙,1156000000,영등포구,서울특별시 영등포구 도림로 482,35,35,02-2068-5325,7296
성동노인종합복지관병설성동데이케어센터,A4120,(노인) 재가노인복지시설,재가노인복지시설,자치구,김광수,1120000000,성동구,서울특별시 성동구 마조로 77 (마장동),17,17,02-2298-5177,4759
양천어르신종합복지관병설양천데이케어센터,A4153,(노인) 재가노인복지시설,재가노인복지시설,자치구,한승호,1147000000,양천구,서울특별시 양천구 신정7동(신정7동),24,24,02-2649-7707,158077
시립은평노인종합복지관 은평데이케어센터,A4163,(노인) 재가노인복지시설,재가노인복지시설,자치구,김승자,1138000000,은평구,서울특별시 은평구 연서로 415(진관동),35,33,02-385-1351,3310
노인통합지원센터,A4189,(노인) 재가노인복지시설,재가노인복지시설,자치구,양재석,1168000000,강남구,서울특별시 강남구 봉은사로24길 70,0,100,02-557-8091,6131
시립강동노인복지관데이케어센터,A4272,(노인) 재가노인복지시설,재가노인복지시설,자치구,성미선,1174000000,강동구,서울특별시 강동구 명일2동 48-1032-5,24,24,02-426-2048,5269
동대문노인종합복지관병설주간보호센터,A4284,(노인) 재가노인복지시설,재가노인복지시설,자치구,민경원,1123000000,동대문구,서울특별시 동대문구 제기로33길25,24,24,02-963-0565,2462
구립여의도원광데이케어센터,A4344,(노인) 재가노인복지시설,재가노인복지시설,자치구,양귀자,1156000000,영등포구,서울특별시 영등포구 여의대방로68길 15영창빌딩 3층,28,28,02-782-4438,7343
강서노인복지관데이케어센터,A4373,(노인) 재가노인복지시설,재가노인복지시설,자치구,임무영,1150000000,강서구,서울특별시 강서구 화곡로61길 85,18,18,02-3664-0322,7590
성모노인복지센터,A4583,(노인) 재가노인복지시설,재가노인복지시설,자치구,최옥란,1165000000,서초구,서울특별시 서초구 도구로 58-1(방배동 969-5),0,9,02-3474-2284,137846
효노인복지센터,A4584,(노인) 재가노인복지시설,재가노인복지시설,자치구,곽현숙,1130500000,강북구,서울특별시 강북구 오현로 194덕수빌딩 2층 (번동),0,0,02-946-1313,1224
강북노인복지센터,A4604,(노인) 재가노인복지시설,재가노인복지시설,자치구,박용권,1130500000,강북구,서울특별시 강북구 도봉로67길 48-6(미아동),0,0,02-981-5004,1120
참사랑노인요양센터,A4783,(노인) 재가노인복지시설,재가노인복지시설,자치구,고정숙,1130500000,강북구,"서울특별시 강북구 오현로 326층 (청우빌딩, 미아동)",15,15,02-981-1212,1233
아차산노인복지센터,A4801,(노인) 재가노인복지시설,재가노인복지시설,자치구,박정섭,1121500000,광진구,서울특별시 광진구 긴고랑로 164 (중곡동),0,0,02-444-2280,4947
수실버간호센터,A4841,(노인) 재가노인복지시설,재가노인복지시설,자치구,이천우,1171000000,송파구,"서울특별시 송파구 성내천로 2123,4층",9,6,02-448-8400,5752
노원실버데이케어센터,A4848,(노인) 재가노인복지시설,재가노인복지시설,자치구,이수남,1135000000,노원구,서울특별시 노원구 동일로 1097(공릉 1동),24,23,02-978-7722,139801
시립강북노인종합복지관병설강북노인주간보호센터,A4874,(노인) 재가노인복지시설,재가노인복지시설,자치구,김민숙,1130500000,강북구,서울특별시 강북구 삼양로92길 40 (수유동),24,24,02-992-6784,1082
구립서대문데이케어센터,A4930,(노인) 재가노인복지시설,재가노인복지시설,자치구,김희철,1141000000,서대문구,서울특별시 서대문구 홍지문2길 59-0(홍은동),21,21,02-392-3080,3608
신목행복자리데이케어센터,A4963,(노인) 재가노인복지시설,재가노인복지시설,자치구,박지은,1147000000,양천구,서울특별시 양천구 신목로 10별관 1층,20,20,02-2643-6647,158765
구립역삼데이케어센터,A5002,(노인) 재가노인복지시설,재가노인복지시설,자치구,임상백,1168000000,강남구,서울특별시 강남구 도곡로27길 27(역삼동),21,21,02-501-5684,135515
우리모두재가노인지원센터,A5003,(노인) 재가노인복지시설,재가노인복지시설,자치구,권양희,1111000000,종로구,서울특별시 종로구 지봉로12나길 1-0B02,100,110,02-744-8573,3108
열린재가노인지원서비스센터,A5012,(노인) 재가노인복지시설,재가노인복지시설,자치구,김창현,1121500000,광진구,서울특별시 광진구 용마산로 8금광빌딩 4층,100,1,02-446-0988,4953
명화데이케어센터,A5024,(노인) 재가노인복지시설,재가노인복지시설,자치구,정천모,1168000000,강남구,서울특별시 강남구 광평로51길 49-01층 명화데이케어센터,21,19,02-459-2696,6347
구립양천데이케어센터,A5052,(노인) 재가노인복지시설,재가노인복지시설,자치구,민경욱,1147000000,양천구,서울특별시 양천구 신월로 26-026(신정동),21,21,02-2695-1626,8051
종로데이케어센터,A5081,(노인) 재가노인복지시설,재가노인복지시설,자치구,이재원,1111000000,종로구,서울특별시 종로구 지봉로13길 82 (창신동),17,17,02-741-4904,3091
영등포재가노인복지센터,A5114,(노인) 재가노인복지시설,재가노인복지시설,자치구,이문노,1156000000,영등포구,서울특별시 영등포구 대림로 884층 (대림동),0,4,02-833-2307,7438
본마을데이케어센터,A5234,(노인) 재가노인복지시설,재가노인복지시설,자치구,이정연,1165000000,서초구,서울특별시 서초구 본마을2길 2(신원동 446),17,17,02-6933-1515,6798
소망데이케어센터,A5249,(노인) 재가노인복지시설,재가노인복지시설,자치구,임창복,1153000000,구로구,서울특별시 구로구 서해안로 2295익준빌딩 4층,24,16,02-2611-0693,8357
도봉실버데이케어센터,A5265,(노인) 재가노인복지시설,재가노인복지시설,자치구,문정민,1132000000,도봉구,서울특별시 도봉구 시루봉로 133(방학동),24,24,02-955-7135,1316
강서구립봉제산데이케어센터,A5282,(노인) 재가노인복지시설,재가노인복지시설,자치구,서순애,1150000000,강서구,서울특별시 강서구 초록마을로15길 12,30,23,02-2605-1555,7676
사단법인한국씨니어연합동작재가노인지원센터,A5440,(노인) 재가노인복지시설,재가노인복지시설,자치구,성미경,1159000000,동작구,서울특별시 동작구 동작대로7길 363층 (사당동),80,0,02-815-8227,7015
주사랑단기보호센터,A5508,(노인) 재가노인복지시설,재가노인복지시설,자치구,박신광,1135000000,노원구,서울특별시 노원구 광운로 48월계빌딩 2층,9,0,02-943-7718,1894
진각재가노인지원센터,A5532,(노인) 재가노인복지시설,재가노인복지시설,자치구,김갑동,1129000000,성북구,서울특별시 성북구 화랑로 21-0서주빌딩 5층,130,131,02-911-1086,2740
인덕재가노인복지센터,A5549,(노인) 재가노인복지시설,재가노인복지시설,자치구,김용주,1138000000,은평구,서울특별시 은평구 연서로 48길 41,,80,02-3156-7514,3308
인덕데이케어센터,A5551,(노인) 재가노인복지시설,재가노인복지시설,자치구,김수년,1138000000,은평구,서울특별시 은평구 연서로48길 41,28,26,02-3156-7551,3308
중구재가노인지원센터,A5556,(노인) 재가노인복지시설,재가노인복지시설,자치구,김정애,1114000000,중구,서울특별시 중구 퇴계로88길 37(신당5동),80,80,02-2238-8017,4578
영화데이케어센터,A5610,(노인) 재가노인복지시설,재가노인복지시설,자치구,김영숙,1121500000,광진구,서울특별시 광진구 동일로 322양지빌딩 5층,21,15,02-497-8252,4920
연희데이케어센터,A5630,(노인) 재가노인복지시설,재가노인복지시설,자치구,배윤희,1141000000,서대문구,서울특별시 서대문구 성산로 271(연희동),28,28,02-333-9910,3706
동대문노인종합복지관부설구립명성데이케어센터,A5701,(노인) 재가노인복지시설,재가노인복지시설,자치구,신미화,1123000000,동대문구,서울특별시 동대문구 무학로28길 22-2(용신동),20,20,02-926-2030,2584
상록재가노인지원센터,A5801,(노인) 재가노인복지시설,재가노인복지시설,자치구,김선옥,1162000000,관악구,서울특별시 관악구 남현길 63(남현동),80,113,02-521-7097,151800
민들레데이케어센터,A5813,(노인) 재가노인복지시설,재가노인복지시설,자치구,이성희,1171000000,송파구,서울특별시 송파구 성내천로 193,23,23,02-448-0166,5745
강동구립해공데이케어센터,A5817,(노인) 재가노인복지시설,재가노인복지시설,자치구,전아미,1174000000,강동구,서울특별시 강동구 천중로17길 42-16(천호2동),17,17,02-478-0601,134867
신명데이케어센터,A5823,(노인) 재가노인복지시설,재가노인복지시설,자치구,이선자,1138000000,은평구,서울특별시 은평구 증산로15길 47(신사2동),21,17,02-303-0049,122885
구립재영데이케어센터,A5865,(노인) 재가노인복지시설,재가노인복지시설,자치구,장미희,1159000000,동작구,서울특별시 동작구 노량진로6다길 26재영교회 (노량진동),27,27,02-822-5119,6931
보현데이케어센터,A5868,(노인) 재가노인복지시설,재가노인복지시설,자치구,양유진,1111000000,종로구,서울특별시 종로구 평창4길 21-22(평창동),20,20,02-394-5511,3002
수호데이케어센터,A5914,(노인) 재가노인복지시설,재가노인복지시설,자치구,박홍래,1162000000,관악구,서울특별시 관악구 인헌길 161-9(인헌동),20,19,02-888-1088,8800
서초노인주간보호센터,A5933,(노인) 재가노인복지시설,재가노인복지시설,자치구,전경아,1165000000,서초구,서울특별시 서초구 강남대로30길 73-7(양재동 7-44),24,24,02-578-1517,6741
구립화원데이케어센터,A6074,(노인) 재가노인복지시설,재가노인복지시설,자치구,고명숙,1153000000,구로구,서울특별시 구로구 벚꽃로 484화원종합사회복지관 2층,35,35,02-6925-5288,8281
(사)굿하트전문사례관리강동재가센터,A6163,(노인) 재가노인복지시설,재가노인복지시설,자치구,김혜영,1174000000,강동구,서울특별시 강동구 천호대로198길 8 (둔촌동),0,0,02-442-7090,5360
(사)굿하트전문사례관리동작재가센터,A6173,(노인) 재가노인복지시설,재가노인복지시설,자치구,배영준,1159000000,동작구,서울특별시 동작구 양녕로28길 41,0,0,02-3481-7090,7035
아현실버데이케어센터,A6358,(노인) 재가노인복지시설,재가노인복지시설,자치구,오명숙,1144000000,마포구,서울특별시 마포구 환일길 3(공덕동),17,17,02-312-2161,4199
역촌데이케어센터,A6401,(노인) 재가노인복지시설,재가노인복지시설,자치구,차화석,1138000000,은평구,서울특별시 은평구 연서로3나길 11-303층 (역촌동),21,21,02-385-9502,122901
구립대치데이케어센터,A6437,(노인) 재가노인복지시설,재가노인복지시설,자치구,이은경,1168000000,강남구,서울특별시 강남구 역삼로69길 22(대치동),20,21,02-564-0108,6196
중앙소규모요양시설나형,A6540,(노인) 재가노인복지시설,재가노인복지시설,자치구,이성순,1141000000,서대문구,서울특별시 서대문구 서소문로 43-49,,4,02-362-9262,3741
흑석데이케어센터,A6616,(노인) 재가노인복지시설,재가노인복지시설,자치구,양문희,1159000000,동작구,서울특별시 동작구 흑석한강로 13-0서울남부교회 3층,24,24,02-825-0511,6982
굿하트 금천재가노인지원센터,A6676,(노인) 재가노인복지시설,재가노인복지시설,자치구,김정미,1154500000,금천구,서울특별시 금천구 시흥대로 399-0시티렉스 314호,0,42,02-805-7090,8584
마포노인복지센터(데이케어센터),A6761,(노인) 재가노인복지시설,재가노인복지시설,자치구,이은정,1144000000,마포구,서울특별시 마포구 만리재옛12길 6-2(공덕동),30,30,27123633,4208
우영가정봉사원파견센터재가노인복지센터,A6797,(노인) 재가노인복지시설,재가노인복지시설,자치구,문연실,1111000000,종로구,서울특별시 종로구 김상옥로 18-5,0,0,070-7521-4653,3129
구립성수1가2동서울숲데이케어센터,A6820,(노인) 재가노인복지시설,재가노인복지시설,자치구,박필선,1120000000,성동구,서울특별시 성동구 왕십리로5길 3성수1가제2동 공공복합청사 3층 (성수동1가),21,22,02-464-4477,4768
서초어르신행복e음센터,A7032,(노인) 재가노인복지시설,재가노인복지시설,자치구,하백선,1165000000,서초구,서울특별시 서초구 방배중앙로 159-62층(방배본동 778-16),0,0,02-6925-6990,6558
(구립)마포어르신돌봄통합센터,A7060,(노인) 재가노인복지시설,재가노인복지시설,자치구,엄영수,1144000000,마포구,서울특별시 마포구 토정로 148-142층,85,85,02-325-3850,4081
노원구어르신돌봄지원센터,A7094,(노인) 재가노인복지시설,재가노인복지시설,자치구,김춘숙,1135000000,노원구,서울특별시 노원구 상계로23길 17원터행복발전소 3층 (상계동),93,93,02-935-5000,1684
행복한세상복지센터,A7104,(노인) 재가노인복지시설,재가노인복지시설,자치구,이우상,1174000000,강동구,서울특별시 강동구 구천면로57길 241층 (암사동),50,50,264053452,5258
구로어르신돌봄통합센터,A7117,(노인) 재가노인복지시설,재가노인복지시설,자치구,우진수,1153000000,구로구,서울특별시 구로구 디지털로27다길 65지하1층 (구로동),802,803,02-865-9579,8372
맑은샘단기보호센터,A7168,(노인) 재가노인복지시설,재가노인복지시설,자치구,이명금,1123000000,동대문구,"서울특별시 동대문구 한천로37길19, 2층 (답십리동, 창승빌딩 A동)",8,3,222442552,2535
면목요양원,A7201,(노인) 재가노인복지시설,재가노인복지시설,자치구,김미옥,1126000000,중랑구,서울특별시 중랑구 상봉로61 (면목동),5,5,02-435-1104,2158
은평어르신돌봄통합지원센터,A7277,(노인) 재가노인복지시설,재가노인복지시설,자치구,마정욱,1138000000,은평구,"서울특별시 은평구 연서로13길 29-73층 (구산동, 은평어르신돌봄통합지원센터)",1374,1374,02-389-9712,3414
동행데이케어센터,A7290,(노인) 재가노인복지시설,재가노인복지시설,자치구,고상진,1129000000,성북구,"서울특별시 성북구 오패산로1길1, 2층 (하월곡동)",19,18,02-921-8639,2740
샬렘재가노인복지센터,A7353,(노인) 재가노인복지시설,재가노인복지시설,자치구,한경순,1144000000,마포구,"서울특별시 마포구 서강로1길12-9 (창전동, 6, 7층)",7,7,02-333-7599,4065
왕십리도선동노인복지센터병설데이케어센터,A7358,(노인) 재가노인복지시설,재가노인복지시설,자치구,김남용,1120000000,성동구,서울특별시 성동구 마장로141 (상왕십리동),24,24,02-6925-7117,4700
참조은재가복지센타,A7362,(노인) 재가노인복지시설,재가노인복지시설,자치구,김복자,1135000000,노원구,"서울특별시 노원구 월계로55길3 (월계동, 사슴아파트3단지 상가 202호)",25,25,02)954-1818,1865
구산데이케어센터,A7380,(노인) 재가노인복지시설,재가노인복지시설,자치구,박미희,1138000000,은평구,서울특별시 은평구 연서로13길 29-7구산보건지소 4층,21,21,02-353-0840,3414
양원사랑데이케어센터,A7458,(노인) 재가노인복지시설,재가노인복지시설,자치구,신상하,1126000000,중랑구,서울특별시 중랑구 양원역로16길103-31 (망우동),17,17,02-433-0205,2057
구립북가좌데이케어센터,A7593,(노인) 재가노인복지시설,재가노인복지시설,자치구,손남식,1141000000,서대문구,서울특별시 서대문구 증가로20길43 (북가좌동),17,16,23763080,3668
동소문데이케어센터,A7596,(노인) 재가노인복지시설,재가노인복지시설,자치구,김선애,1129000000,성북구,"서울특별시 성북구 동소문로11길18, 101호 (동소문동4가, 삼총사타운)",20,19,02-926-7273,2832
미소들주야간보호센터,A7598,(노인) 재가노인복지시설,재가노인복지시설,자치구,김금자,1153000000,구로구,서울특별시 구로구 고척로21나길88-41 (개봉동),37,50,02-2067-9039,8250
광진어르신복지센터,A7673,(노인) 재가노인복지시설,재가노인복지시설,자치구,오병지,1121500000,광진구,서울특별시 광진구 자양로 51길 11-25,20,13,02)453-1511,4955
청운데이케어센터,A7738,(노인) 재가노인복지시설,재가노인복지시설,자치구,손창숙,1159000000,동작구,서울특별시 동작구 국사봉1길 145청운노인복지센터 6층,24,22,02-823-3855,7043
평화행복한데이케어센터,A7770,(노인) 재가노인복지시설,재가노인복지시설,자치구,장재섭,1135000000,노원구,"서울특별시 노원구 중계3동 514-3(중계 2, 3동)",24,24,02-949-0124,1786
시립중계노인전문요양원병설데이케어센터,A7837,(노인) 재가노인복지시설,재가노인복지시설,자치구,양길승,1135000000,노원구,서울특별시 노원구 섬밭로 313 시립중계노인전문요양원 병설 데이케어센터(중계동),24,24,02-3399-7560,1771
송파버들데이케어센터,A7893,(노인) 재가노인복지시설,재가노인복지시설,자치구,박왕호,1171000000,송파구,서울특별시 송파구 충민로 184,29,29,02-409-1617,5792
